X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
79-06-1	Acrylamide	D020106	79-06-1	A1CF	29974	Mus musculus	10090	30807115
79-06-1	Acrylamide	D020106	79-06-1	A1CF	29974	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	AAAS	8086	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	AAGAB	79719	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	AARD	441376	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	ABCA8A	217258	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	ABCB7	22	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	ABCC10	89845	Mus musculus	10090	30807115
79-06-1	Acrylamide	D020106	79-06-1	ABCC3	8714	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	ABCC4	10257	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	ABCC6	368	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	ABCC8	6833	Mus musculus	10090	30807115
79-06-1	Acrylamide	D020106	79-06-1	ABCD2	225	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	ABCD3	5825	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	ABCF1	23	Mus musculus	10090	30807115
79-06-1	Acrylamide	D020106	79-06-1	ABHD14A	25864	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	ABHD16A	7920	Mus musculus	10090	30807115
79-06-1	Acrylamide	D020106	79-06-1	ABHD5	51099	Mus musculus	10090	30807115
79-06-1	Acrylamide	D020106	79-06-1	ABHD8	79575	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	ABI1	10006	Mus musculus	10090	20025956
79-06-1	Acrylamide	D020106	79-06-1	ABI1A	393711	Danio rerio	7955	29784925
79-06-1	Acrylamide	D020106	79-06-1	ABO	28	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	ABRA	137735	Rattus norvegicus	10116	28606764|28959563
79-06-1	Acrylamide	D020106	79-06-1	ABRACL	58527	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	ACAA1	30	Danio rerio	7955	29784925
79-06-1	Acrylamide	D020106	79-06-1	ACACA	31	Mus musculus	10090	30409764
79-06-1	Acrylamide	D020106	79-06-1	ACACA	31	Mus musculus	10090	30409764
79-06-1	Acrylamide	D020106	79-06-1	ACAN	176	Bos taurus	9913	16876394
79-06-1	Acrylamide	D020106	79-06-1	ACAP2	23527	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	ACAT2	39	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	ACHE	43	Drosophila melanogaster	7227	22841601
79-06-1	Acrylamide	D020106	79-06-1	ACHE	43	Drosophila melanogaster	7227	24231732
79-06-1	Acrylamide	D020106	79-06-1	ACHE	43	Drosophila melanogaster	7227	24231732
79-06-1	Acrylamide	D020106	79-06-1	ACHE	43	Drosophila melanogaster	7227	24231732
79-06-1	Acrylamide	D020106	79-06-1	ACHE	43	Rattus norvegicus	10116	25199698
79-06-1	Acrylamide	D020106	79-06-1	ACHE	43	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	ACHE	43	Rattus norvegicus	10116	25199698
79-06-1	Acrylamide	D020106	79-06-1	ACHE	43	Rattus norvegicus	10116	25199698
79-06-1	Acrylamide	D020106	79-06-1	ACIN1	22985	Mus musculus	10090	30807115
79-06-1	Acrylamide	D020106	79-06-1	ACMSD	130013	Rattus norvegicus	10116	28959563
79-06-1	Acrylamide	D020106	79-06-1	ACOT4	122970	Rattus norvegicus	10116	28959563
