X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
335-67-1	perfluorooctanoic acid	C023036	335-67-1	A1CF	29974	Rattus norvegicus	10116	28511854
335-67-1	perfluorooctanoic acid	C023036	335-67-1	A2M	2	Mus musculus	10090	19429403
335-67-1	perfluorooctanoic acid	C023036	335-67-1	A2M	2	Oncorhynchus mykiss	8022	21984479
335-67-1	perfluorooctanoic acid	C023036	335-67-1	AAK1	22848	Homo sapiens	9606	26879310
335-67-1	perfluorooctanoic acid	C023036	335-67-1	AANAT1	393677	Danio rerio	7955	23427857
335-67-1	perfluorooctanoic acid	C023036	335-67-1	AARS1	16	Homo sapiens	9606	26879310
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABAT	18	Homo sapiens	9606	26879310
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABAT	18	Rattus norvegicus	10116	19162173
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCA1	19	Mus musculus	10090	17681415
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCA2	20	Gobiocypris rarus	143606	19162173
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCA3	21	Mus musculus	10090	19429403
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCA3	21	Mus musculus	10090	17681415
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCB1	5243	Homo sapiens	9606	24014645
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCB11	8647	Homo sapiens	9606	27153767
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCB11	8647	Mus musculus	10090	30657992
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCB1A	18671	Mus musculus	10090	23626681
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCB1B	18669	Mus musculus	10090	23626681
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCB1B	18669	Mus musculus	10090	23626681
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCB1B	18669	Rattus norvegicus	10116	19162173
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCB4	5244	Gallus gallus	9031	19162173
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCB4	5244	Rattus norvegicus	10116	19162173
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCC1	4363	Homo sapiens	9606	24014645
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCC12	94160	Mus musculus	10090	30711707
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCC2	1244	Mus musculus	10090	17681415
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCC3	8714	Mus musculus	10090	18281256
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCC3	8714	Rattus norvegicus	10116	19162173
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCC4	10257	Homo sapiens	9606	24014645
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCC6	368	Rattus norvegicus	10116	19162173
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCD3	5825	Mus musculus	10090	18281256
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCD3	5825	Mus musculus	10090	17681415
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCD3	5825	Rattus norvegicus	10116	19162173|28511854
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCG1	9619	Homo sapiens	9606	25868421
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCG1	9619	Rattus norvegicus	10116	16221955
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCG2	9429	Gallus gallus	9031	19162173
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCG2	9429	Homo sapiens	9606	24014645
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCG2	9429	Homo sapiens	9606	23435180|24014645
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCG2	9429	Mus musculus	10090	23435180
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCG2	9429	Mus musculus	10090	23435180
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCG5	64240	Mus musculus	10090	17681415|30657992
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCG5	64240	Rattus norvegicus	10116	21723365
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABCG8	64241	Mus musculus	10090	17681415
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABHD1	84696	Rattus norvegicus	10116	28511854
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABHD10	55347	Homo sapiens	9606	26879310
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABHD5	51099	Gallus gallus	9031	19162173
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABHD6	57406	Mus musculus	10090	30711707
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ABTB2	25841	Rattus norvegicus	10116	19162173|21318169
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAA1	30	Mus musculus	10090	18281256
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAA1	30	Mus musculus	10090	18467677
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAA1	30	Mus musculus	10090	18467677
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAA1	30	Rattus norvegicus	10116	16221955|19162173
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAA1A	113868	Homo sapiens	9606	19751795
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAA1A	113868	Homo sapiens	9606	19751795
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAA1A	113868	Mus musculus	10090	17681415|19429403|19751795|20936131|30657992
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAA1A	113868	Mus musculus	10090	19751795
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAA1A	113868	Mus musculus	10090	19751795
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAA1A	113868	Mus musculus	10090	19751795
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAA1A	113868	Mus musculus	10090	20936131
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAA1A	113868	Rattus norvegicus	10116	28511854
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAA1B	235674	Mus musculus	10090	17681415|18467677|19429403|20936131|28558994|30657992
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAA2	10449	Gallus gallus	9031	19162173
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAA2	10449	Homo sapiens	9606	26879310
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAA2	10449	Mus musculus	10090	19429403
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAA2	10449	Platichthys flesus	8260	18804290
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAA2	10449	Rattus norvegicus	10116	19162173|28511854
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACACA	31	Mus musculus	10090	17681415|30657992
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACACB	32	Mus musculus	10090	17681415
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAD10	80724	Mus musculus	10090	23626681
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAD10	80724	Mus musculus	10090	18467677|20936131
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAD10	80724	Mus musculus	10090	18467677|20936131
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAD11	84129	Danio rerio	7955	23427857
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAD11	84129	Mus musculus	10090	23626681
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAD11	84129	Mus musculus	10090	19429403
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAD11	84129	Mus musculus	10090	18467677|23626681
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAD11	84129	Mus musculus	10090	18467677
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACAD11	84129	Rattus norvegicus	10116	28511854
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACADL	33	Mus musculus	10090	18281256|19429403
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACADL	33	Mus musculus	10090	23626681
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACADL	33	Mus musculus	10090	17681415|18467677|20936131|23626681|28558994|30711707
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACADL	33	Rattus norvegicus	10116	19162173
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACADM	34	Homo sapiens	9606	26879310
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACADM	34	Homo sapiens	9606	19751795
335-67-1	perfluorooctanoic acid	C023036	335-67-1	ACADM	34	Homo sapiens	9606	19751795
