X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ABCA1	19	Mus musculus	10090	21705711
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ABCB11	8647	Mus musculus	10090	21705711
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ABCB4	5244	Homo sapiens	9606	23567314
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ABCG5	64240	Mus musculus	10090	21705711
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ABCG8	64241	Mus musculus	10090	21705711
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ACAA1A	113868	Mus musculus	10090	21705711
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ACAA1B	235674	Mus musculus	10090	21705711|28558994
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ACAA2	10449	Mus musculus	10090	21705711
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ACADL	33	Mus musculus	10090	28558994
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ACAT1	38	Mus musculus	10090	21705711
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ACAT2	39	Mus musculus	10090	21705711
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ACOT1	641371	Mus musculus	10090	28558994
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ACOT2	10965	Mus musculus	10090	28558994
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ACOX1	51	Homo sapiens	9606	23567314
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ACOX1	51	Mus musculus	10090	21705711|28558994
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ACOX2	8309	Mus musculus	10090	21705711
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ACSL1	2180	Homo sapiens	9606	23567314
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ACSL1	2180	Mus musculus	10090	21705711
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ACSL3	2181	Mus musculus	10090	21705711
355-46-4	perfluorohexanesulfonic acid	C471071	355-46-4	ACSL4	2182	Mus musculus	10090	21705711
